date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:42:44	94580/94580	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Nov%202015%2018:53:51%20GMT	http://html.iwthemes.com/coopbank/index.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/index.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
10:42:45	49724/49724	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202015%2002:48:03%20GMT	http://html.iwthemes.com/coopbank/template-register-area.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/template-register-area.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
10:42:47	80074/80074	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202015%2002:47:45%20GMT	http://html.iwthemes.com/coopbank/index-bank-3.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/index-bank-3.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
10:42:48	59973/59973	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202015%2002:47:46%20GMT	http://html.iwthemes.com/coopbank/index-cooperative-1.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/index-cooperative-1.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
10:42:50	86733/86733	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202015%2002:47:46%20GMT	http://html.iwthemes.com/coopbank/index-cooperative-2.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/index-cooperative-2.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
10:42:51	62134/62134	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202015%2002:47:47%20GMT	http://html.iwthemes.com/coopbank/index-cooperative-3.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/index-cooperative-3.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
10:42:53	80233/80233	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202015%2002:47:47%20GMT	http://html.iwthemes.com/coopbank/index-employee-1.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/index-employee-1.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
10:42:54	71719/71719	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202015%2002:47:48%20GMT	http://html.iwthemes.com/coopbank/index-employee-2.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/index-employee-2.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
10:42:56	86711/86711	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202015%2002:47:49%20GMT	http://html.iwthemes.com/coopbank/index-employee-3.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/index-employee-3.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
10:42:57	66352/66352	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202015%2002:47:50%20GMT	http://html.iwthemes.com/coopbank/template-about.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/template-about.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
10:42:58	53797/53797	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202015%2002:47:59%20GMT	http://html.iwthemes.com/coopbank/template-history.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/template-history.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
10:43:00	53564/53564	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202015%2002:47:56%20GMT	http://html.iwthemes.com/coopbank/template-events.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/template-events.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
10:43:01	52258/52258	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202015%2002:47:57%20GMT	http://html.iwthemes.com/coopbank/template-gallery-2.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/template-gallery-2.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
10:43:02	52262/52262	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202015%2002:47:57%20GMT	http://html.iwthemes.com/coopbank/template-gallery-3.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/template-gallery-3.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
10:43:04	53204/53204	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202015%2002:47:58%20GMT	http://html.iwthemes.com/coopbank/template-gallery-4.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/template-gallery-4.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
10:43:05	77115/77115	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202015%2002:48:03%20GMT	http://html.iwthemes.com/coopbank/template-services-options.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/template-services-options.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
10:43:06	58193/58193	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202015%2002:47:55%20GMT	http://html.iwthemes.com/coopbank/template-credit-simulator.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/template-credit-simulator.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
10:43:08	51489/51489	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202015%2002:48:05%20GMT	http://html.iwthemes.com/coopbank/template-user-area.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/template-user-area.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
10:43:09	46655/46655	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202015%2002:47:52%20GMT	http://html.iwthemes.com/coopbank/template-archives-download.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/template-archives-download.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
10:43:10	47870/47870	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202015%2002:47:51%20GMT	http://html.iwthemes.com/coopbank/template-agreement-area.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/template-agreement-area.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
10:43:11	59726/59726	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202015%2002:47:51%20GMT	http://html.iwthemes.com/coopbank/template-accounts.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/template-accounts.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
10:43:12	69794/69794	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202015%2002:47:56%20GMT	http://html.iwthemes.com/coopbank/template-credits.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/template-credits.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
10:43:14	69069/69069	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202015%2002:48:01%20GMT	http://html.iwthemes.com/coopbank/template-inversions.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/template-inversions.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
10:43:15	62883/62883	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202015%2002:48:02%20GMT	http://html.iwthemes.com/coopbank/template-news.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/template-news.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
10:43:17	52575/52575	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202015%2002:48:02%20GMT	http://html.iwthemes.com/coopbank/template-princing-tables.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/template-princing-tables.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
10:43:19	62911/62911	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202015%2002:47:54%20GMT	http://html.iwthemes.com/coopbank/template-blog-right.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/template-blog-right.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
10:43:20	62941/62941	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202015%2002:47:53%20GMT	http://html.iwthemes.com/coopbank/template-blog-left.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/template-blog-left.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
10:43:22	52821/52821	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202015%2002:47:53%20GMT	http://html.iwthemes.com/coopbank/template-blog-full.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/template-blog-full.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
10:43:24	61402/61402	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202015%2002:47:54%20GMT	http://html.iwthemes.com/coopbank/template-blog-single.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/template-blog-single.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
10:43:25	44346/44346	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202015%2002:47:50%20GMT	http://html.iwthemes.com/coopbank/template-404.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/template-404.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
10:43:26	48325/48325	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202015%2002:47:57%20GMT	http://html.iwthemes.com/coopbank/template-full-widht.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/template-full-widht.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
10:43:27	54248/54248	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202015%2002:48:04%20GMT	http://html.iwthemes.com/coopbank/template-sidebar.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/template-sidebar.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
10:43:28	51173/51173	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202015%2002:48:04%20GMT	http://html.iwthemes.com/coopbank/template-site-map.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/template-site-map.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
10:43:30	58095/58095	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202015%2002:47:52%20GMT	http://html.iwthemes.com/coopbank/template-bg-sections.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/template-bg-sections.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
10:43:31	48819/48819	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202015%2002:47:58%20GMT	http://html.iwthemes.com/coopbank/template-grid.html	C:/Users/MAC/Desktop/Paginas%20web%20uniminuto/paginabank/html.iwthemes.com/coopbank/template-grid.html	(from http://html.iwthemes.com/coopbank/index-bank-2.html)
